bhk,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact
2,450,Ground out of 2,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
3,100,3 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,550,2 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,360,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3,300,1 out of 3,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent
2,1065,1 out of 2,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner
2,1000,3 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1,450,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,380,3 out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,500,3 out of 4,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3,1800,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,750,4 out of 13,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,1000,2 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2,670,7 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Owner
2,700,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2,1000,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1100,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1600,2 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
1,890,4 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner
3,1360,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,640,Ground out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2,500,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
4,3000,1 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors,4,Contact Agent
1,400,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner
3,1800,2 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Agent
2,910,Ground out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,700,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,800,Ground out of 1,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2,720,8 out of 20,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,1200,4 out of 8,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
1,350,2 out of 3,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1,800,1 out of 1,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1,400,3 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,1500,1 out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,870,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,3000,3 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2,650,3 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,2671,2 out of 14,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner
3,1500,1 out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,1800,2 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Owner
2,670,2 out of 4,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner
1,550,2 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner
3,1300,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2,1200,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,650,3 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1100,2 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1350,Ground out of 1,Super Area,Chennai,Furnished,Bachelors,3,Contact Owner
3,1800,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Owner
2,1200,1 out of 1,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,780,3 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
3,1850,3 out of 3,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
2,1080,3 out of 12,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
3,1700,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2,939,3 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1350,2 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
3,1700,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2,1050,Ground out of 2,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2,700,10 out of 11,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,630,6 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
2,1100,1 out of 5,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2,1150,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
2,1150,2 out of 4,Carpet Area,Bangalore,Furnished,Bachelors,2,Contact Agent
3,1710,6 out of 18,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,3,Contact Agent
2,650,5 out of 8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,1330,11 out of 51,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
3,1700,1 out of 4,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent
2,900,1 out of 1,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,1300,5 out of 8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,550,7 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
3,1500,2 out of 14,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent
3,1645,8 out of 19,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1550,30 out of 37,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,700,5 out of 7,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
3,100,2 out of 3,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
4,1900,5 out of 11,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,1100,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1940,1 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner
3,1064,7 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1,500,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
3,2390,3 out of 17,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,1800,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,2600,8 out of 18,Carpet Area,Bangalore,Semi-Furnished,Family,4,Contact Agent
2,450,4 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,1000,Ground out of 1,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner
3,1520,23 out of 25,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
2,1080,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner
3,1600,1 out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2,700,8 out of 15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,850,1 out of 8,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
2,1350,5 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
3,1550,22 out of 24,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1460,6 out of 12,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent
3,1500,23 out of 34,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Agent
2,1350,3 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,600,9 out of 17,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,1838,4 out of 30,Super Area,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
3,2800,6 out of 30,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
3,1300,1 out of 3,Super Area,Chennai,Semi-Furnished,Family,3,Contact Owner
2,500,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
3,889,7 out of 27,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,600,1 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,480,1 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1,434,5 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,360,4 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1,450,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
1,450,9 out of 20,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
6,4500,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,6,Contact Owner
3,920,4 out of 13,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
3,3200,1 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,770,1 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,2000,Ground out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1,444,7 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,750,17 out of 20,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
2,1280,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
1,300,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
1,300,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2,1200,36 out of 45,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,1000,4 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
4,2046,22 out of 52,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2,771,15 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,660,25 out of 43,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1,550,4 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner
2,650,5 out of 16,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
2,1800,Ground out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1800,10 out of 13,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,1000,2 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,967,14 out of 33,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,888,5 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,771,20 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
4,3789,9 out of 22,Carpet Area,Hyderabad,Semi-Furnished,Family,5,Contact Agent
2,700,7 out of 10,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,985,Lower Basement out of 18,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
2,1040,2 out of 4,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2,855,4 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Agent
2,805,48 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1233,35 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2,650,5 out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,753,11 out of 31,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,670,5 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
3,1700,6 out of 13,Super Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2,751,16 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,1088,16 out of 37,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,2405,10 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Agent
4,2650,14 out of 48,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,2700,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,975,29 out of 35,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,850,3 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Agent
1,650,2 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Agent
2,1000,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
6,4200,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,5,Contact Owner
2,1000,5 out of 5,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner
2,1050,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1,600,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2,955,34 out of 40,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
3,1915,8 out of 23,Super Area,Mumbai,Semi-Furnished,Family,4,Contact Agent
2,750,2 out of 8,Super Area,Mumbai,Furnished,Bachelors,2,Contact Owner
4,1250,2 out of 7,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent
3,960,9 out of 21,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
2,1200,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,950,4 out of 4,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2,1100,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,600,9 out of 11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,660,Ground out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,724,19 out of 21,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
3,2080,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Family,3,Contact Owner
2,800,1 out of 1,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner
4,2500,3 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2,1100,2 out of 2,Super Area,Kolkata,Furnished,Bachelors,2,Contact Agent
3,1250,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,1274,9 out of 32,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,800,Ground out of 1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2,1350,20 out of 35,Carpet Area,Hyderabad,Furnished,Bachelors,2,Contact Agent
4,7000,Lower Basement out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,6,Contact Agent
3,1603,26 out of 32,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,985,7 out of 15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,1100,1 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
3,1550,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1680,4 out of 9,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent
4,4341,9 out of 15,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
2,1200,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,900,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
1,540,1 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Agent
3,1700,19 out of 26,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,400,3 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2,160,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,2235,Ground out of 10,Carpet Area,Hyderabad,Unfurnished,Family,5,Contact Agent
2,670,4 out of 16,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Owner
3,1500,7 out of 12,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
2,1000,1 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,1000,1 out of 1,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,2000,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
1,500,9 out of 16,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2,650,10 out of 18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,1296,9 out of 22,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,550,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
2,920,Ground out of 27,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,1700,Ground out of 15,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
2,1600,1 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,1545,4 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
1,450,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
3,1742,11 out of 35,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2,1100,2 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1900,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2,600,14 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,670,17 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,2000,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1680,7 out of 19,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,2000,23 out of 40,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
3,1300,6 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,500,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
2,720,4 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1233,14 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
1,550,1 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Agent
3,2000,4 out of 17,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2,805,12 out of 68,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1742,24 out of 33,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent
3,1700,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1100,1 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
3,1100,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,800,Ground out of 5,Carpet Area,Bangalore,Semi-Furnished,Family,1,Contact Agent
3,1800,1 out of 1,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,400,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2,755,12 out of 31,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1,500,2 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
2,806,3 out of 58,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
3,1250,12 out of 29,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
2,1100,Ground out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1725,2 out of 13,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner
3,1225,9 out of 18,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,1700,15 out of 18,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,890,2 out of 2,Super Area,Chennai,Unfurnished,Family,2,Contact Owner
2,600,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent
3,1496,10 out of 15,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
2,1200,1 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3,1920,6 out of 15,Super Area,Chennai,Semi-Furnished,Family,3,Contact Agent
3,3500,3 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Family,3,Contact Agent
2,1374,2 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
4,3115,3 out of 3,Super Area,Hyderabad,Furnished,Bachelors/Family,5,Contact Owner
2,1068,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner
2,685,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors,2,Contact Owner
2,590,Ground out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,2000,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
3,1955,1 out of 19,Super Area,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
